,Property,Value,Group,Cohort,Level,Origin
4941,transitivity,0.4,CRC,Yang_2020,phylum,0.4
4942,algebraic_connectivity,1.0,CRC,Yang_2020,phylum,1.0
4943,density,-0.589,CRC,Yang_2020,phylum,-0.589
4944,assortativity,0.476,CRC,Yang_2020,phylum,0.476
4945,transitivity,0.4,CRC,Yang_2020,phylum,0.4
4946,algebraic_connectivity,0.0,CRC,Yang_2020,phylum,0.0
4947,density,-0.534,CRC,Yang_2020,phylum,-0.534
4948,assortativity,0.357,CRC,Yang_2020,phylum,0.357
4949,transitivity,0.176,CRC,Yang_2020,phylum,0.176
4950,algebraic_connectivity,0.0,CRC,Yang_2020,phylum,0.0
4951,density,-0.635,CRC,Yang_2020,phylum,-0.635
4952,assortativity,0.278,CRC,Yang_2020,phylum,0.278
4953,transitivity,0.176,CRC,Yang_2020,phylum,0.176
4954,algebraic_connectivity,0.0,CRC,Yang_2020,phylum,0.0
4955,density,-0.465,CRC,Yang_2020,phylum,-0.465
4956,assortativity,0.278,CRC,Yang_2020,phylum,0.278
4957,transitivity,0.0,CRC,Yang_2020,phylum,0.0
4958,algebraic_connectivity,0.443,CRC,Yang_2020,phylum,0.443
4959,density,-0.625,CRC,Yang_2020,phylum,-0.625
4960,assortativity,0.357,CRC,Yang_2020,phylum,0.357
4961,transitivity,0.0,CRC,Yang_2020,phylum,0.0
4962,algebraic_connectivity,0.0,CRC,Yang_2020,phylum,0.0
4963,density,0.071,CRC,Yang_2020,phylum,0.071
4964,assortativity,0.476,CRC,Yang_2020,phylum,0.476
4965,transitivity,0.25,CRC,Yang_2020,phylum,0.25
4966,algebraic_connectivity,0.0,CRC,Yang_2020,phylum,0.0
4967,density,-0.482,CRC,Yang_2020,phylum,-0.482
4968,assortativity,0.476,CRC,Yang_2020,phylum,0.476
4969,transitivity,0.214,CRC,Yang_2020,phylum,0.214
4970,algebraic_connectivity,0.596,CRC,Yang_2020,phylum,0.596
4971,density,-0.566,CRC,Yang_2020,phylum,-0.566
4972,assortativity,0.476,CRC,Yang_2020,phylum,0.476
4973,transitivity,0.316,CRC,Yang_2020,phylum,0.316
4974,algebraic_connectivity,1.0,CRC,Yang_2020,phylum,1.0
4975,density,-0.522,CRC,Yang_2020,phylum,-0.522
4976,assortativity,0.357,CRC,Yang_2020,phylum,0.357
4977,transitivity,0.0,CRC,Yang_2020,phylum,0.0
4978,algebraic_connectivity,0.452,CRC,Yang_2020,phylum,0.452
4979,density,-0.498,CRC,Yang_2020,phylum,-0.498
4980,assortativity,0.476,CRC,Yang_2020,phylum,0.476
4981,transitivity,0.214,CRC,Yang_2020,phylum,0.214
4982,algebraic_connectivity,0.596,CRC,Yang_2020,phylum,0.596
4983,density,-0.566,CRC,Yang_2020,phylum,-0.566
4984,assortativity,0.476,CRC,Yang_2020,phylum,0.476
4985,transitivity,0.231,CRC,Yang_2020,phylum,0.231
4986,algebraic_connectivity,0.551,CRC,Yang_2020,phylum,0.551
4987,density,-0.389,CRC,Yang_2020,phylum,-0.389
4988,assortativity,0.476,CRC,Yang_2020,phylum,0.476
4989,transitivity,0.333,CRC,Yang_2020,phylum,0.333
4990,algebraic_connectivity,0.0,CRC,Yang_2020,phylum,0.0
4991,density,-0.118,CRC,Yang_2020,phylum,-0.118
4992,assortativity,0.476,control,Yang_2020,phylum,0.476
4993,transitivity,0.214,control,Yang_2020,phylum,0.214
4994,algebraic_connectivity,0.596,control,Yang_2020,phylum,0.596
4995,density,-0.542,control,Yang_2020,phylum,-0.542
4996,assortativity,0.357,control,Yang_2020,phylum,0.357
4997,transitivity,0.231,control,Yang_2020,phylum,0.231
4998,algebraic_connectivity,0.0,control,Yang_2020,phylum,0.0
4999,density,-0.504,control,Yang_2020,phylum,-0.504
5000,assortativity,0.667,control,Yang_2020,phylum,0.667
5001,transitivity,0.462,control,Yang_2020,phylum,0.462
5002,algebraic_connectivity,0.697,control,Yang_2020,phylum,0.697
5003,density,-0.354,control,Yang_2020,phylum,-0.354
5004,assortativity,0.476,control,Yang_2020,phylum,0.476
5005,transitivity,0.214,control,Yang_2020,phylum,0.214
5006,algebraic_connectivity,0.596,control,Yang_2020,phylum,0.596
5007,density,-0.566,control,Yang_2020,phylum,-0.566
5008,assortativity,0.476,control,Yang_2020,phylum,0.476
5009,transitivity,0.4,control,Yang_2020,phylum,0.4
5010,algebraic_connectivity,0.0,control,Yang_2020,phylum,0.0
5011,density,-0.534,control,Yang_2020,phylum,-0.534
5012,assortativity,0.476,control,Yang_2020,phylum,0.476
5013,transitivity,0.3,control,Yang_2020,phylum,0.3
5014,algebraic_connectivity,1.0,control,Yang_2020,phylum,1.0
5015,density,-0.679,control,Yang_2020,phylum,-0.679
5016,assortativity,0.667,control,Yang_2020,phylum,0.667
5017,transitivity,0.5,control,Yang_2020,phylum,0.5
5018,algebraic_connectivity,0.486,control,Yang_2020,phylum,0.486
5019,density,-0.408,control,Yang_2020,phylum,-0.408
5020,assortativity,0.667,control,Yang_2020,phylum,0.667
5021,transitivity,0.3,control,Yang_2020,phylum,0.3
5022,algebraic_connectivity,0.631,control,Yang_2020,phylum,0.631
