,Events,Cohort,Group,Bases
398,69,VogtmannE_2016,control,6946982549.0
399,40,VogtmannE_2016,CRC,4141839835.0
400,39,VogtmannE_2016,CRC,4466195763.0
401,104,VogtmannE_2016,CRC,5672062108.0
402,41,VogtmannE_2016,CRC,7182289591.0
403,45,VogtmannE_2016,CRC,6621113804.0
404,121,VogtmannE_2016,control,6492491491.0
405,245,VogtmannE_2016,control,5333346730.0
406,81,VogtmannE_2016,control,5271237884.0
407,46,VogtmannE_2016,control,5357791641.0
408,97,VogtmannE_2016,control,6500263337.0
409,107,VogtmannE_2016,control,6430241030.0
410,81,VogtmannE_2016,CRC,5546605088.0
411,63,VogtmannE_2016,control,3583469911.0
412,43,VogtmannE_2016,CRC,4706882156.0
413,103,VogtmannE_2016,CRC,6677939705.0
414,114,VogtmannE_2016,control,6478563154.0
415,72,VogtmannE_2016,CRC,12194557586.0
416,24,VogtmannE_2016,control,3416777496.0
417,79,VogtmannE_2016,CRC,6632142593.0
418,60,VogtmannE_2016,CRC,5506905773.0
419,128,VogtmannE_2016,control,6016069815.0
420,60,VogtmannE_2016,CRC,5707928435.0
421,81,VogtmannE_2016,control,6039626590.0
422,47,VogtmannE_2016,control,4596748294.0
423,111,VogtmannE_2016,control,9042997520.0
424,50,VogtmannE_2016,CRC,4852225968.0
425,340,WirbelJ_2018,control,4639213592.0
426,451,WirbelJ_2018,control,4351849639.0
427,193,WirbelJ_2018,control,4227123245.0
428,431,WirbelJ_2018,control,5908657135.0
429,273,WirbelJ_2018,control,3841428856.0
430,287,WirbelJ_2018,control,4103990976.0
431,151,WirbelJ_2018,CRC,3184004938.0
432,92,WirbelJ_2018,CRC,7831308075.0
433,85,WirbelJ_2018,CRC,7831308075.0
434,92,WirbelJ_2018,CRC,7831308075.0
435,91,WirbelJ_2018,CRC,7831308075.0
436,37,WirbelJ_2018,CRC,7813872056.0
437,28,WirbelJ_2018,CRC,7813872056.0
438,33,WirbelJ_2018,CRC,7813872056.0
439,28,WirbelJ_2018,CRC,7813872056.0
440,82,WirbelJ_2018,control,5070894772.0
441,258,WirbelJ_2018,control,3243885354.0
442,279,WirbelJ_2018,control,4415306489.0
443,204,WirbelJ_2018,control,4252277902.0
444,93,WirbelJ_2018,CRC,9541781198.0
445,72,WirbelJ_2018,CRC,9541781198.0
446,93,WirbelJ_2018,CRC,9541781198.0
447,76,WirbelJ_2018,CRC,9541781198.0
448,178,WirbelJ_2018,control,6097470744.0
449,206,WirbelJ_2018,control,3969615803.0
450,202,WirbelJ_2018,control,5102590952.0
451,149,WirbelJ_2018,control,3958810630.0
452,303,WirbelJ_2018,control,4297110124.0
453,182,WirbelJ_2018,control,4597866250.0
454,245,WirbelJ_2018,control,3820804468.0
455,355,WirbelJ_2018,control,5663096176.0
456,392,WirbelJ_2018,control,4960369607.0
457,143,WirbelJ_2018,CRC,8156827787.0
458,136,WirbelJ_2018,CRC,8156827787.0
459,129,WirbelJ_2018,CRC,8156827787.0
460,126,WirbelJ_2018,CRC,8156827787.0
461,290,WirbelJ_2018,control,5191026043.0
462,382,WirbelJ_2018,control,5239016935.0
463,250,WirbelJ_2018,control,3159908625.0
464,308,WirbelJ_2018,control,4957102126.0
465,279,WirbelJ_2018,control,4897630678.0
466,158,WirbelJ_2018,control,3151787541.0
467,317,WirbelJ_2018,control,3913525742.0
468,248,WirbelJ_2018,CRC,5173146819.0
469,206,WirbelJ_2018,control,3540776312.0
470,319,WirbelJ_2018,control,4182724716.0
471,212,WirbelJ_2018,control,5310806480.0
472,304,WirbelJ_2018,control,6217935229.0
473,91,WirbelJ_2018,CRC,8204655954.0
474,83,WirbelJ_2018,CRC,8204655954.0
